	ID	QID	QID_	Sentence	Codes	Themes	FirstCC	SecondCC	ThirdCC
404	R4:171		Q:35	Tracing these steps should therefore help us understand how these micro-innovations accumulate into major discoveries and outcomes, and enable meta-research to uncover patterns in how discovery and innovation actually emerge over time.	{'pattern discovery', 'meta-research opportunity'}	perception	{'pattern discovery', 'meta-research opportunity'}	{'pattern discovery', 'meta-research opportunity'}	{'meta-research opportunity', 'pattern understanding via tracing'}
405	R5:2		Q:1	My name is [RESPONDANT 5], I am at [PARTNER ORGANIZATION]  and I am co-PI of [PROJECT X]	{'authorship', 'co-principal investigator', 'roles'}	current situation	{'authorship', 'co-principal investigator', 'roles'}	{'authorship attribution', 'co-principal investigator role', 'roles'}	{'roles and permissions governance', 'leadership roles', 'valuing authorship'}
406	R5:13		Q:4	"I used to think about this because this term has been discussed at my work place. But I do
not know what it means, and I have no time for defining such. Waste of time."	{'critics about current policy', 'innovation management is waste of time', 'uncertainty about innovation steps', 'sarcasm about innovation management'}	critics	{'critics about current policy', 'innovation management is waste of time', 'uncertainty about innovation steps', 'sarcasm about innovation management'}	{'innovation management seen as waste', 'criticism of current policy', 'uncertainty about innovation steps', 'sarcasm about innovation management'}	{'uncertainty and risk perception', 'criticism of policy', 'innovation management skepticism', 'criticism of innovation management'}
406	R5:13		Q:4	"I used to think about this because this term has been discussed at my work place. But I do
not know what it means, and I have no time for defining such. Waste of time."	{'critics about current policy', 'innovation management is waste of time', 'uncertainty about innovation steps', 'sarcasm about innovation management'}	perception	{'critics about current policy', 'innovation management is waste of time', 'uncertainty about innovation steps', 'sarcasm about innovation management'}	{'innovation management seen as waste', 'criticism of current policy', 'uncertainty about innovation steps', 'sarcasm about innovation management'}	{'uncertainty and risk perception', 'criticism of policy', 'innovation management skepticism', 'criticism of innovation management'}
407	R5:15		Q:5	I do not know what it means, and I have no time for defining such.	{'innovation management is waste of time', 'sarcasm about innovation management'}	critics	{'innovation management is waste of time', 'sarcasm about innovation management'}	{'innovation management seen as waste', 'sarcasm about innovation management'}	{'innovation management skepticism', 'criticism of innovation management'}
407	R5:15		Q:5	I do not know what it means, and I have no time for defining such.	{'innovation management is waste of time', 'sarcasm about innovation management'}	disadvantages	{'innovation management is waste of time', 'sarcasm about innovation management'}	{'innovation management seen as waste', 'sarcasm about innovation management'}	{'innovation management skepticism', 'criticism of innovation management'}
407	R5:15		Q:5	I do not know what it means, and I have no time for defining such.	{'innovation management is waste of time', 'sarcasm about innovation management'}	perception	{'innovation management is waste of time', 'sarcasm about innovation management'}	{'innovation management seen as waste', 'sarcasm about innovation management'}	{'innovation management skepticism', 'criticism of innovation management'}
408	R5:19		Q:7	This sounds to me bureaucratic. If I get inspiration from something and produce based on that, and later report it, I try to make transparent where my ideas originate from. It is a matter of historical correctness and fairness to those who were and worked before me.	{'tracing innovation steps is waste of time', 'ideas and background only to be reported only when something is produced'}	critics	{'tracing innovation steps is waste of time', 'ideas and background only to be reported only when something is produced'}	{'tracing seen as waste of time', 'ideas disclosed only after production'}	{'conditional idea disclosure', 'traceability risks and costs'}
408	R5:19		Q:7	This sounds to me bureaucratic. If I get inspiration from something and produce based on that, and later report it, I try to make transparent where my ideas originate from. It is a matter of historical correctness and fairness to those who were and worked before me.	{'tracing innovation steps is waste of time', 'ideas and background only to be reported only when something is produced'}	disadvantages	{'tracing innovation steps is waste of time', 'ideas and background only to be reported only when something is produced'}	{'tracing seen as waste of time', 'ideas disclosed only after production'}	{'conditional idea disclosure', 'traceability risks and costs'}
408	R5:19		Q:7	This sounds to me bureaucratic. If I get inspiration from something and produce based on that, and later report it, I try to make transparent where my ideas originate from. It is a matter of historical correctness and fairness to those who were and worked before me.	{'tracing innovation steps is waste of time', 'ideas and background only to be reported only when something is produced'}	perception	{'tracing innovation steps is waste of time', 'ideas and background only to be reported only when something is produced'}	{'tracing seen as waste of time', 'ideas disclosed only after production'}	{'conditional idea disclosure', 'traceability risks and costs'}
409	R5:22		Q:a	"If I give an answer here, it will take me too much time. By the way: By default,
this creepy MSCopilot interferes with what I want to write, therefore I stop here."	{'critics about current tools (Microsoft OR Generative AI interferences)', 'tools for innovation management', 'sarcasms about innovation management'}	critics	{'critics about current tools (Microsoft OR Generative AI interferences)', 'tools for innovation management', 'sarcasms about innovation management'}	{'innovation management tools', 'criticism of current tools', 'sarcasm about innovation management'}	{'criticism of current tools', 'innovation management tools and platforms', 'criticism of innovation management'}
409	R5:22		Q:a	"If I give an answer here, it will take me too much time. By the way: By default,
this creepy MSCopilot interferes with what I want to write, therefore I stop here."	{'critics about current tools (Microsoft OR Generative AI interferences)', 'tools for innovation management', 'sarcasms about innovation management'}	disadvantages	{'critics about current tools (Microsoft OR Generative AI interferences)', 'tools for innovation management', 'sarcasms about innovation management'}	{'innovation management tools', 'criticism of current tools', 'sarcasm about innovation management'}	{'criticism of current tools', 'innovation management tools and platforms', 'criticism of innovation management'}
409	R5:22		Q:a	"If I give an answer here, it will take me too much time. By the way: By default,
this creepy MSCopilot interferes with what I want to write, therefore I stop here."	{'critics about current tools (Microsoft OR Generative AI interferences)', 'tools for innovation management', 'sarcasms about innovation management'}	perception	{'critics about current tools (Microsoft OR Generative AI interferences)', 'tools for innovation management', 'sarcasms about innovation management'}	{'innovation management tools', 'criticism of current tools', 'sarcasm about innovation management'}	{'criticism of current tools', 'innovation management tools and platforms', 'criticism of innovation management'}
410	R5:57		Q:14a	"[INTERVIEWER_NAME], I am sorry you have to do this kind of job. I use
the tools that I have in reach if they are useful. It is good if one can show a real product, a
physical one. That's a good visualization."	{'data visualisation tools', 'skeptism about ideation in favour of tangible prototypes', 'sarcams about ideation', 'sarcasm about innovation management'}	perception	{'data visualisation tools', 'skeptism about ideation in favour of tangible prototypes', 'sarcams about ideation', 'sarcasm about innovation management'}	{'sarcasm about ideation', 'preference for tangible prototypes', 'data visualization tools', 'sarcasm about innovation management'}	{'data visualization tools and charts', 'preference for tangible prototypes', 'skepticism and criticism', 'criticism of innovation management'}
411	R5:73		Q:19	There is a number of tools in my life that I have to spend time to learn how to use and apply them, for example Microsoft Teams, and that simply gives me a hard time and frustrates me.	{'communicating complexity bother people', 'critics about innovation management tools (Microsoft Teams)', 'timecosts disadvantages', 'behaviour', 'critics about enforcing a product'}	critics	{'communicating complexity bother people', 'critics about innovation management tools (Microsoft Teams)', 'timecosts disadvantages', 'behaviour', 'critics about enforcing a product'}	{'criticism of innovation management tools', 'criticism of enforced productization', 'participant behavior', 'time cost disadvantages', 'complexity hinders communication'}	{'traceability risks and costs', 'criticism of enforced productization', 'participant behavior', 'criticism of innovation management', 'complexity hinders communication'}
411	R5:73		Q:19	There is a number of tools in my life that I have to spend time to learn how to use and apply them, for example Microsoft Teams, and that simply gives me a hard time and frustrates me.	{'communicating complexity bother people', 'critics about innovation management tools (Microsoft Teams)', 'timecosts disadvantages', 'behaviour', 'critics about enforcing a product'}	current situation	{'communicating complexity bother people', 'critics about innovation management tools (Microsoft Teams)', 'timecosts disadvantages', 'behaviour', 'critics about enforcing a product'}	{'criticism of innovation management tools', 'criticism of enforced productization', 'participant behavior', 'time cost disadvantages', 'complexity hinders communication'}	{'traceability risks and costs', 'criticism of enforced productization', 'participant behavior', 'criticism of innovation management', 'complexity hinders communication'}
412	R5:106		Q:23	"I do believe in free speech and opinion and basic democracy. I have been in consortia
where such was promised, but not kept."	{'critics about current policy', 'frustration for democratizing tools and contrast of not democratic working relationships', 'voting system as decision making critics', 'critics on internal team project management'}	critics	{'critics about current policy', 'frustration for democratizing tools and contrast of not democratic working relationships', 'voting system as decision making critics', 'critics on internal team project management'}	{'criticism of internal project management', 'criticism of current policy', 'frustration with non-democratic tool use', 'criticism of voting systems'}	{'frustration with non-democratic governance', 'criticism of internal project management', 'criticism of policy', 'criticism of voting systems'}
412	R5:106		Q:23	"I do believe in free speech and opinion and basic democracy. I have been in consortia
where such was promised, but not kept."	{'critics about current policy', 'frustration for democratizing tools and contrast of not democratic working relationships', 'voting system as decision making critics', 'critics on internal team project management'}	current situation	{'critics about current policy', 'frustration for democratizing tools and contrast of not democratic working relationships', 'voting system as decision making critics', 'critics on internal team project management'}	{'criticism of internal project management', 'criticism of current policy', 'frustration with non-democratic tool use', 'criticism of voting systems'}	{'frustration with non-democratic governance', 'criticism of internal project management', 'criticism of policy', 'criticism of voting systems'}
412	R5:106		Q:23	"I do believe in free speech and opinion and basic democracy. I have been in consortia
where such was promised, but not kept."	{'critics about current policy', 'frustration for democratizing tools and contrast of not democratic working relationships', 'voting system as decision making critics', 'critics on internal team project management'}	perception	{'critics about current policy', 'frustration for democratizing tools and contrast of not democratic working relationships', 'voting system as decision making critics', 'critics on internal team project management'}	{'criticism of internal project management', 'criticism of current policy', 'frustration with non-democratic tool use', 'criticism of voting systems'}	{'frustration with non-democratic governance', 'criticism of internal project management', 'criticism of policy', 'criticism of voting systems'}
413	R5:108		Q:24	"Traceability of contributions is very important- and shall be
done. This is why I have a problem with data mining and big data. Everyone deserves
ownership, where deserved."	{'critics about datafication policies', 'critics about data mining'}	critics	{'critics about datafication policies', 'critics about data mining'}	{'criticism of data mining', 'criticism of datafication policies'}	{'criticism of data mining', 'criticism of datafication policies'}
413	R5:108		Q:24	"Traceability of contributions is very important- and shall be
done. This is why I have a problem with data mining and big data. Everyone deserves
ownership, where deserved."	{'critics about datafication policies', 'critics about data mining'}	current situation	{'critics about datafication policies', 'critics about data mining'}	{'criticism of data mining', 'criticism of datafication policies'}	{'criticism of data mining', 'criticism of datafication policies'}
413	R5:108		Q:24	"Traceability of contributions is very important- and shall be
done. This is why I have a problem with data mining and big data. Everyone deserves
ownership, where deserved."	{'critics about datafication policies', 'critics about data mining'}	perception	{'critics about datafication policies', 'critics about data mining'}	{'criticism of data mining', 'criticism of datafication policies'}	{'criticism of data mining', 'criticism of datafication policies'}
414	R5:116		Q:26	matter of fairness and transparency and accountability.	{'tracing innovation should aid to (fairness AND transparency AND accountability)'}	insight	{'tracing innovation should aid to (fairness AND transparency AND accountability)'}	{'tracing for fairness and accountability'}	{'traceability benefits'}
414	R5:116		Q:26	matter of fairness and transparency and accountability.	{'tracing innovation should aid to (fairness AND transparency AND accountability)'}	perception	{'tracing innovation should aid to (fairness AND transparency AND accountability)'}	{'tracing for fairness and accountability'}	{'traceability benefits'}
415	R5:125		Q:28	"Who else shall be rewarded, if not the worker, the creator, the author, the assistant, the
help?"	{'critics about current policy critics', 'valuing authorship', 'sarcasm about innovation management'}	critics	{'critics about current policy critics', 'valuing authorship', 'sarcasm about innovation management'}	{'criticism of current policy', 'valuing authorship', 'sarcasm about innovation management'}	{'criticism of policy', 'authorship and rewards', 'criticism of innovation management'}
415	R5:125		Q:28	"Who else shall be rewarded, if not the worker, the creator, the author, the assistant, the
help?"	{'critics about current policy critics', 'valuing authorship', 'sarcasm about innovation management'}	current situation	{'critics about current policy critics', 'valuing authorship', 'sarcasm about innovation management'}	{'criticism of current policy', 'valuing authorship', 'sarcasm about innovation management'}	{'criticism of policy', 'authorship and rewards', 'criticism of innovation management'}
415	R5:125		Q:28	"Who else shall be rewarded, if not the worker, the creator, the author, the assistant, the
help?"	{'critics about current policy critics', 'valuing authorship', 'sarcasm about innovation management'}	perception	{'critics about current policy critics', 'valuing authorship', 'sarcasm about innovation management'}	{'criticism of current policy', 'valuing authorship', 'sarcasm about innovation management'}	{'criticism of policy', 'authorship and rewards', 'criticism of innovation management'}
416	R5:140		Q:31	"I think this here is a fishy study. Makes me thinking about conspiracy theories. I have never been a friend of ""Herrschaftswissen""."	{'sarcasm about this very study', 'policy critics', 'distrust about any datification policy', 'distrust about tracing people activities to infer knowledge', 'perception of property rights', 'distrust on knowledge as power'}	critics	{'sarcasm about this very study', 'policy critics', 'distrust about any datification policy', 'distrust about tracing people activities to infer knowledge', 'perception of property rights', 'distrust on knowledge as power'}	{'distrust in activity-based inference', 'sarcasm about the study', 'criticism of policy', 'distrust viewing knowledge as power', 'perception of property rights', 'distrust in datification policies'}	{'criticism of policy', 'property rights governance', 'distrust in datification policies', 'knowledge-as-power distrust', 'skepticism and criticism', 'distrust in activity tracking and inference'}
416	R5:140		Q:31	"I think this here is a fishy study. Makes me thinking about conspiracy theories. I have never been a friend of ""Herrschaftswissen""."	{'sarcasm about this very study', 'policy critics', 'distrust about any datification policy', 'distrust about tracing people activities to infer knowledge', 'perception of property rights', 'distrust on knowledge as power'}	current situation	{'sarcasm about this very study', 'policy critics', 'distrust about any datification policy', 'distrust about tracing people activities to infer knowledge', 'perception of property rights', 'distrust on knowledge as power'}	{'distrust in activity-based inference', 'sarcasm about the study', 'criticism of policy', 'distrust viewing knowledge as power', 'perception of property rights', 'distrust in datification policies'}	{'criticism of policy', 'property rights governance', 'distrust in datification policies', 'knowledge-as-power distrust', 'skepticism and criticism', 'distrust in activity tracking and inference'}
416	R5:140		Q:31	"I think this here is a fishy study. Makes me thinking about conspiracy theories. I have never been a friend of ""Herrschaftswissen""."	{'sarcasm about this very study', 'policy critics', 'distrust about any datification policy', 'distrust about tracing people activities to infer knowledge', 'perception of property rights', 'distrust on knowledge as power'}	perception	{'sarcasm about this very study', 'policy critics', 'distrust about any datification policy', 'distrust about tracing people activities to infer knowledge', 'perception of property rights', 'distrust on knowledge as power'}	{'distrust in activity-based inference', 'sarcasm about the study', 'criticism of policy', 'distrust viewing knowledge as power', 'perception of property rights', 'distrust in datification policies'}	{'criticism of policy', 'property rights governance', 'distrust in datification policies', 'knowledge-as-power distrust', 'skepticism and criticism', 'distrust in activity tracking and inference'}
417	R5:142		Q:32	I'm lost.	{'sarcasm or critics about selecting type of innovation for outreach'}	critics	{'sarcasm or critics about selecting type of innovation for outreach'}	{'criticism of outreach choices'}	{'criticism of outreach choices'}
417	R5:142		Q:32	I'm lost.	{'sarcasm or critics about selecting type of innovation for outreach'}	current situation	{'sarcasm or critics about selecting type of innovation for outreach'}	{'criticism of outreach choices'}	{'criticism of outreach choices'}
417	R5:142		Q:32	I'm lost.	{'sarcasm or critics about selecting type of innovation for outreach'}	perception	{'sarcasm or critics about selecting type of innovation for outreach'}	{'criticism of outreach choices'}	{'criticism of outreach choices'}
418	R5:144		Q:33	I'm lost.	{'sarcasm or critics about selecting type of innovation for outreach'}	critics	{'sarcasm or critics about selecting type of innovation for outreach'}	{'criticism of outreach choices'}	{'criticism of outreach choices'}
418	R5:144		Q:33	I'm lost.	{'sarcasm or critics about selecting type of innovation for outreach'}	current situation	{'sarcasm or critics about selecting type of innovation for outreach'}	{'criticism of outreach choices'}	{'criticism of outreach choices'}
418	R5:144		Q:33	I'm lost.	{'sarcasm or critics about selecting type of innovation for outreach'}	perception	{'sarcasm or critics about selecting type of innovation for outreach'}	{'criticism of outreach choices'}	{'criticism of outreach choices'}
419	R5:146		Q:34	"Trying to trace everything always in little details as an administrative flow looks to me
like an insanity. Sadly, I see that coming. Good thing is: such insanity is not sustainable."	{'usability concern', 'risks of data policy failure', 'unsustainability of collecting too granular data', 'utility concern', 'distrust about tracing innovation data as extra activity', 'communication costs', 'time-costs'}	critics	{'usability concern', 'risks of data policy failure', 'unsustainability of collecting too granular data', 'utility concern', 'distrust about tracing innovation data as extra activity', 'communication costs', 'time-costs'}	{'data policy failure risks', 'utility concerns', 'unsustainable granularity', 'time costs', 'usability concerns', 'costs of communication', 'distrust in tracing as added burden'}	{'innovation steps and granularity', 'tool design and usability', 'communication overhead', 'time costs', 'tool utility concerns', 'distrust in tracing as added burden', 'data policy and governance risks'}
419	R5:146		Q:34	"Trying to trace everything always in little details as an administrative flow looks to me
like an insanity. Sadly, I see that coming. Good thing is: such insanity is not sustainable."	{'usability concern', 'risks of data policy failure', 'unsustainability of collecting too granular data', 'utility concern', 'distrust about tracing innovation data as extra activity', 'communication costs', 'time-costs'}	disadvantages	{'usability concern', 'risks of data policy failure', 'unsustainability of collecting too granular data', 'utility concern', 'distrust about tracing innovation data as extra activity', 'communication costs', 'time-costs'}	{'data policy failure risks', 'utility concerns', 'unsustainable granularity', 'time costs', 'usability concerns', 'costs of communication', 'distrust in tracing as added burden'}	{'innovation steps and granularity', 'tool design and usability', 'communication overhead', 'time costs', 'tool utility concerns', 'distrust in tracing as added burden', 'data policy and governance risks'}
420	R5:148		Q:35	If emergence would be predictable, would it still be emergence?	{'skeptism about this project', 'cues of philosophical loop-holes in tracing innovation for predicting emergence of innovation', 'critics about this project'}	critics	{'skeptism about this project', 'cues of philosophical loop-holes in tracing innovation for predicting emergence of innovation', 'critics about this project'}	{'project-specific criticism', 'skepticism about the project', 'philosophical limits of predicting innovation emergence'}	{'criticism of current project', 'skepticism and criticism', 'philosophical limits of prediction'}
420	R5:148		Q:35	If emergence would be predictable, would it still be emergence?	{'skeptism about this project', 'cues of philosophical loop-holes in tracing innovation for predicting emergence of innovation', 'critics about this project'}	disadvantages	{'skeptism about this project', 'cues of philosophical loop-holes in tracing innovation for predicting emergence of innovation', 'critics about this project'}	{'project-specific criticism', 'skepticism about the project', 'philosophical limits of predicting innovation emergence'}	{'criticism of current project', 'skepticism and criticism', 'philosophical limits of prediction'}
420	R5:148		Q:35	If emergence would be predictable, would it still be emergence?	{'skeptism about this project', 'cues of philosophical loop-holes in tracing innovation for predicting emergence of innovation', 'critics about this project'}	perception	{'skeptism about this project', 'cues of philosophical loop-holes in tracing innovation for predicting emergence of innovation', 'critics about this project'}	{'project-specific criticism', 'skepticism about the project', 'philosophical limits of predicting innovation emergence'}	{'criticism of current project', 'skepticism and criticism', 'philosophical limits of prediction'}
421	R6:2		Q:1	As a postdoctoral researcher my role involved designing the [PROJECT X] chip or the DIS (Dandelion Integrated System) that is used to emulate and determine the internal states of the colloid.	{'senior researcher', 'authorship'}	current situation	{'senior researcher', 'authorship'}	{'authorship attribution', 'senior researcher role'}	{'roles and permissions governance', 'valuing authorship'}
422	R6:9		Q:3	Both KPI framework and Horizon 1-2-3 models of innovation were assessed and presented during stakeholder’s meeting. At least 4 members were involved in each team. TRL (Technology Readiness Levels), quantity and quality of the prototype, patents, scientific publications, industrial collaborations and commercial impacts were assessed to measure innovative progress. Horizon 1-2-3 (Ambition Matrix) and 3 x3 innovation matrices were adopted.	{'KPI frameworks EU', 'evaluation metrics use scientific publications', 'evaluation metrics use quantity and quality of the prototype features', 'EU', 'EU measures', 'Horizon 3x3 innovation matrix', 'TRL', 'evaluation metrics use industrial collaborations', 'evaluation metrics use commercial impacts assessement', 'Horizon Ambition matrix (1-2-3 model)', 'evaluation metrics use patents', 'Horizon metrics'}	current situation	{'KPI frameworks EU', 'evaluation metrics use scientific publications', 'evaluation metrics use quantity and quality of the prototype features', 'EU', 'EU measures', 'Horizon 3x3 innovation matrix', 'TRL', 'evaluation metrics use industrial collaborations', 'evaluation metrics use commercial impacts assessement', 'Horizon Ambition matrix (1-2-3 model)', 'evaluation metrics use patents', 'Horizon metrics'}	{'industrial collaboration evaluation metrics', 'Horizon innovation metrics', 'EU KPI frameworks', 'prototype feature-based evaluation metrics', 'Horizon ambition matrix framework', 'Horizon 3x3 innovation framework', 'technology readiness levels', 'EU innovation measures', 'publication-based evaluation metrics', 'patent-based evaluation metrics', 'commercial impact evaluation metrics', 'EU context'}	{'innovation evaluation metrics', 'EU innovation measures and evaluation metrics', 'EU innovation measures', 'EU context', 'innovation evaluation metrics (industry collaboration)'}
423	R6:11		Q:4	Innovation is the advancement via application of new scientific knowledge, principles, or methodologies that enable the creation, enhancement, or transformation of technologies, materials, or systems in ways that measurably improve CEF (Capability, Efficiency, or Functionality).	{'innovation is improving existing tech', 'innovation defined through CEF (Capability Efficiency Functionality)', 'innovation is scientific or technical'}	insight	{'innovation is improving existing tech', 'innovation defined through CEF (Capability Efficiency Functionality)', 'innovation is scientific or technical'}	{'innovation as scientific or technical', 'innovation defined by CEF', 'improvement of existing technology'}	{'EU innovation measures', 'innovation definition and nature', 'incremental improvement and modernization'}
423	R6:11		Q:4	Innovation is the advancement via application of new scientific knowledge, principles, or methodologies that enable the creation, enhancement, or transformation of technologies, materials, or systems in ways that measurably improve CEF (Capability, Efficiency, or Functionality).	{'innovation is improving existing tech', 'innovation defined through CEF (Capability Efficiency Functionality)', 'innovation is scientific or technical'}	perception	{'innovation is improving existing tech', 'innovation defined through CEF (Capability Efficiency Functionality)', 'innovation is scientific or technical'}	{'innovation as scientific or technical', 'innovation defined by CEF', 'improvement of existing technology'}	{'EU innovation measures', 'innovation definition and nature', 'incremental improvement and modernization'}
424	R6:13		Q:5	An innovative step is a scalable push across boundaries not only to improve CEF (Capability, Efficiency, or Functionality) parameters but also to gain the learnings achieved through the unexplored path that are vital in ideating better the essence of the problem.	{'innovation steps as function of both innovation and learning', 'utility of learning from failures', 'innovation steps', 'EU measures'}	insight	{'innovation steps as function of both innovation and learning', 'utility of learning from failures', 'innovation steps', 'EU measures'}	{'learning utility from failures', 'EU innovation measures', 'innovation steps concept', 'innovation steps link learning and innovation'}	{'learning-innovation linkage', 'EU innovation measures', 'innovation steps definition and boundaries', 'learning from failures'}
425	R6:15		Q:6	International flagship conferences, workshops and public outreach activities.	{'appropriate language to disseminate research', 'available resources as assets', 'dissemination'}	appropriate language	{'appropriate language to disseminate research', 'available resources as assets', 'dissemination'}	{'dissemination practices', 'resources considered as assets', 'appropriate language for research dissemination'}	{'resource management and constraints', 'dissemination practices', 'appropriate language'}
425	R6:15		Q:6	International flagship conferences, workshops and public outreach activities.	{'appropriate language to disseminate research', 'available resources as assets', 'dissemination'}	assets	{'appropriate language to disseminate research', 'available resources as assets', 'dissemination'}	{'dissemination practices', 'resources considered as assets', 'appropriate language for research dissemination'}	{'resource management and constraints', 'dissemination practices', 'appropriate language'}
426	R6:17		Q:7	Yes	{'traceability of intermediate steps for awareness'}	perception	{'traceability of intermediate steps for awareness'}	{'intermediate traceability for awareness'}	{'intermediate traceability benefits'}
427	R6:21	Q:8a	Q:8a	Often understanding the whole process is indeed challenging. For example- We know that quantum effects occur during photosynthesis in plants’ leaves and neuromodulation happens in our brains efficiently. One small innovative step can be knowing the compounds or constituents that are involved in these two processes. Although replicating such complex processes through our present technological understanding is quite challenging, reaching milestones progressively to understand them better and articulate traceable ideas helps immensely at the scientific forefront to crack the mysteries and replicate them in the future.	{'opportunity of giant leaps in knowledge discovery', 'tracing innovation steps to understand patterns of processes leading to new innovations'}	insight	{'opportunity of giant leaps in knowledge discovery', 'tracing innovation steps to understand patterns of processes leading to new innovations'}	{'opportunity for major knowledge leaps', 'pattern understanding via tracing'}	{'opportunity for major knowledge leaps', 'pattern understanding via tracing'}
427	R6:21	Q:8a	Q:8a	Often understanding the whole process is indeed challenging. For example- We know that quantum effects occur during photosynthesis in plants’ leaves and neuromodulation happens in our brains efficiently. One small innovative step can be knowing the compounds or constituents that are involved in these two processes. Although replicating such complex processes through our present technological understanding is quite challenging, reaching milestones progressively to understand them better and articulate traceable ideas helps immensely at the scientific forefront to crack the mysteries and replicate them in the future.	{'opportunity of giant leaps in knowledge discovery', 'tracing innovation steps to understand patterns of processes leading to new innovations'}	opportunity	{'opportunity of giant leaps in knowledge discovery', 'tracing innovation steps to understand patterns of processes leading to new innovations'}	{'opportunity for major knowledge leaps', 'pattern understanding via tracing'}	{'opportunity for major knowledge leaps', 'pattern understanding via tracing'}
427	R6:21	Q:8a	Q:8a	Often understanding the whole process is indeed challenging. For example- We know that quantum effects occur during photosynthesis in plants’ leaves and neuromodulation happens in our brains efficiently. One small innovative step can be knowing the compounds or constituents that are involved in these two processes. Although replicating such complex processes through our present technological understanding is quite challenging, reaching milestones progressively to understand them better and articulate traceable ideas helps immensely at the scientific forefront to crack the mysteries and replicate them in the future.	{'opportunity of giant leaps in knowledge discovery', 'tracing innovation steps to understand patterns of processes leading to new innovations'}	uncertainty	{'opportunity of giant leaps in knowledge discovery', 'tracing innovation steps to understand patterns of processes leading to new innovations'}	{'opportunity for major knowledge leaps', 'pattern understanding via tracing'}	{'opportunity for major knowledge leaps', 'pattern understanding via tracing'}
428	R6:29		Q:10	Yes, it is meaningful provided the public outreach becomes effective when presenting in the way they understand better the incurred innovation. 	{'appropriate language to communicate oureach', 'innovation progress should be reported to public'}	appropriate language	{'appropriate language to communicate oureach', 'innovation progress should be reported to public'}	{'appropriate language for outreach', 'reporting innovation to public'}	{'appropriate language', 'reporting innovation to public'}
428	R6:29		Q:10	Yes, it is meaningful provided the public outreach becomes effective when presenting in the way they understand better the incurred innovation. 	{'appropriate language to communicate oureach', 'innovation progress should be reported to public'}	perception	{'appropriate language to communicate oureach', 'innovation progress should be reported to public'}	{'appropriate language for outreach', 'reporting innovation to public'}	{'appropriate language', 'reporting innovation to public'}
429	R6:30		Q:10	This communication is further bound by protecting intellectual properties involved in the research project.	{'disclosure and property rights', 'innovation must be protected'}	current situation	{'disclosure and property rights', 'innovation must be protected'}	{'need for innovation protection', 'disclosure linked to property rights'}	{'IP-linked disclosure constraints', 'IP risk management'}
429	R6:30		Q:10	This communication is further bound by protecting intellectual properties involved in the research project.	{'disclosure and property rights', 'innovation must be protected'}	perception	{'disclosure and property rights', 'innovation must be protected'}	{'need for innovation protection', 'disclosure linked to property rights'}	{'IP-linked disclosure constraints', 'IP risk management'}
430	R6:33	Q:11a	Q:11a	Engaging people for open science is more important as it increases visibility, usage, knowing setbacks with mitigation and more push towards the societal benefit of the specific innovation.	{'utility of innovation as societal benefits', 'communicating innovation more important for open science than for partners [3/4 liker scale]'}	opportunity	{'utility of innovation as societal benefits', 'communicating innovation more important for open science than for partners [3/4 liker scale]'}	{'open science prioritized over partners', 'societal utility of innovation'}	{'societal utility and impact', 'open science vs partner priorities'}
430	R6:33	Q:11a	Q:11a	Engaging people for open science is more important as it increases visibility, usage, knowing setbacks with mitigation and more push towards the societal benefit of the specific innovation.	{'utility of innovation as societal benefits', 'communicating innovation more important for open science than for partners [3/4 liker scale]'}	perception	{'utility of innovation as societal benefits', 'communicating innovation more important for open science than for partners [3/4 liker scale]'}	{'open science prioritized over partners', 'societal utility of innovation'}	{'societal utility and impact', 'open science vs partner priorities'}
431	R6:54		Q:14a	Visualization tools clarified COgITOR’s complex processes, enhanced our communication across stakeholders, tracked progress and milestones, supported strategic decision-making, facilitated knowledge transfer and learning, reduced conflict of interest within stakeholders, and sustained team effectiveness over time.	{'knowledge transfer', 'tracing progress', 'data-visualisation tools used for internal communication'}	appropriate language	{'knowledge transfer', 'tracing progress', 'data-visualisation tools used for internal communication'}	{'progress tracing', 'visualization tools for internal communication', 'knowledge transfer'}	{'tools and visualization', 'traceability practices', 'knowledge transfer outcomes'}
431	R6:54		Q:14a	Visualization tools clarified COgITOR’s complex processes, enhanced our communication across stakeholders, tracked progress and milestones, supported strategic decision-making, facilitated knowledge transfer and learning, reduced conflict of interest within stakeholders, and sustained team effectiveness over time.	{'knowledge transfer', 'tracing progress', 'data-visualisation tools used for internal communication'}	assets	{'knowledge transfer', 'tracing progress', 'data-visualisation tools used for internal communication'}	{'progress tracing', 'visualization tools for internal communication', 'knowledge transfer'}	{'tools and visualization', 'traceability practices', 'knowledge transfer outcomes'}
431	R6:54		Q:14a	Visualization tools clarified COgITOR’s complex processes, enhanced our communication across stakeholders, tracked progress and milestones, supported strategic decision-making, facilitated knowledge transfer and learning, reduced conflict of interest within stakeholders, and sustained team effectiveness over time.	{'knowledge transfer', 'tracing progress', 'data-visualisation tools used for internal communication'}	current situation	{'knowledge transfer', 'tracing progress', 'data-visualisation tools used for internal communication'}	{'progress tracing', 'visualization tools for internal communication', 'knowledge transfer'}	{'tools and visualization', 'traceability practices', 'knowledge transfer outcomes'}
432	R6:56		Q:14b	5 (max)	{'data-visualisation tools are very important to communicate progress (5/5)'}	appropriate language	{'data-visualisation tools are very important to communicate progress (5/5)'}	{'high importance of visualization tools for progress communication'}	{'importance of visualization for progress'}
